GO,Aeropyrum_pernix.CDS.fa.OUTPUT.daa.m8,Aquifex_aeolicus.CDS.fa.OUTPUT.daa.m8,Archaeoglobus_fulgidus.CDS.fa.OUTPUT.daa.m8,Hyperthermus_butyilicus.CDS.fa.OUTPUT.daa.m8,Methanococcus_jannaschii.CDS.fa.OUTPUT.daa.m8,Methanopyrus_kandleri.CDS.fa.OUTPUT.daa.m8,Methanothermus_fervidus.CDS.fa.OUTPUT.daa.m8,Pyrococcus_feriosus.CDS.fa.OUTPUT.daa.m8,Pyrodicitium_abyssi.CDS.fa.OUTPUT.daa.m8,Pyrolobus_fumarii.CDS.fa.OUTPUT.daa.m8,Sulfolobus_acidocaldarius.CDS.fa.OUTPUT.daa.m8,Thermocrinis_minervae.CDS.fa.OUTPUT.daa.m8,Thermocrinis_ruber.CDS.fa.OUTPUT.daa.m8,Thermotoga_maritima.CDS.fa.OUTPUT.daa.m8
 nucleoside diphosphate kinase activity [GO:0004550],1,1,1,1,1,1,1,1,1,1,1,0,1,0
 cytoplasmic side of plasma membrane [GO:0009898],0,1,0,0,0,0,0,0,0,0,0,0,1,1
L-malate dehydrogenase activity [GO:0030060],0,2,0,0,0,0,0,0,0,0,1,0,1,0
 coenzyme F420 hydrogenase activity [GO:0050454],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 polyamine biosynthetic process [GO:0006596],1,1,1,3,3,0,0,3,1,1,1,0,2,1
[protein-PII] uridylyltransferase activity [GO:0008773],0,1,1,0,0,0,0,0,0,0,0,0,1,0
 phosphorus-oxygen lyase activity [GO:0016849],0,0,0,0,0,0,0,0,0,0,0,0,1,0
 calcium ion binding [GO:0005509],0,1,0,0,1,0,1,1,0,0,0,0,0,2
 phosphoribosylglycinamide formyltransferase activity [GO:0004644],0,0,0,0,1,0,0,1,1,1,1,0,0,0
 UDP-N-acetyl-D-mannosamine dehydrogenase activity [GO:0089714],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 dihydrofolate synthase activity [GO:0008841],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 cellular amino acid catabolic process [GO:0009063],1,0,0,0,0,0,0,0,0,0,0,0,0,0
 dephospho-CoA kinase activity [GO:0004140],0,1,0,0,1,0,0,1,0,0,0,0,1,1
 snoRNA binding [GO:0030515],1,0,1,1,1,1,1,1,1,0,1,0,0,0
dimethylallyltranstransferase activity [GO:0004161],0,0,0,1,0,0,1,0,0,0,0,0,0,0
 protein secretion by the type I secretion system [GO:0030253],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 phosphorelay response regulator activity [GO:0000156],0,0,1,0,0,0,0,0,1,0,0,0,0,1
 regulation of DNA repair [GO:0006282],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 acetyl-CoA:L-glutamate N-acetyltransferase activity [GO:0004042],0,1,1,0,1,1,1,0,0,0,0,0,1,1
 homoserine kinase activity [GO:0004413],1,1,0,0,2,1,0,1,1,1,1,0,1,1
 rRNA pseudouridine synthesis [GO:0031118],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 hyaluronan synthase activity [GO:0050501],0,1,0,0,0,0,0,0,0,0,0,0,0,0
transferase activity, transferring acyl groups other than amino-acyl groups [GO:0016747],1,0,8,1,1,1,1,0,1,1,4,0,0,1
 deoxyribonucleotide catabolic process [GO:0009264],1,1,0,1,0,0,0,0,0,1,0,0,1,1
 sterol biosynthetic process [GO:0016126],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 L-arabinose metabolic process [GO:0046373],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 proline-tRNA ligase activity [GO:0004827],1,1,1,1,1,1,1,1,1,1,1,0,1,1
hydroxymethylbilane synthase activity [GO:0004418],1,0,1,1,0,1,1,0,0,1,1,0,1,0
 box H/ACA snoRNA 3'-end processing [GO:0000495],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 4 iron, 4 sulfur cluster binding [GO:0051539],4,22,12,5,12,7,7,15,9,7,8,0,16,12
 23S rRNA (guanine(1835)-N(2))-methyltransferase activity [GO:0052916],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 phosphotransferase activity, alcohol group as acceptor [GO:0016773],2,2,1,0,1,3,1,1,1,0,1,0,1,4
 cysteine biosynthetic process [GO:0019344],0,0,0,0,0,0,0,0,0,0,1,0,1,1
 guanosine tetraphosphate metabolic process [GO:0015969],0,1,0,0,0,0,0,0,0,0,0,0,1,1
 lysine biosynthetic process via diaminopimelate, diaminopimelate-aminotransferase pathway [GO:0033362],0,0,0,0,1,0,1,0,0,0,0,0,1,0
 indole-3-glycerol-phosphate synthase activity [GO:0004425],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 'de novo' NAD biosynthetic process from aspartate [GO:0034628],0,1,0,0,1,0,0,0,0,0,0,0,0,1
prenyltransferase activity [GO:0004659],1,0,1,0,0,1,0,1,1,0,0,0,1,0
 NADP phosphatase activity [GO:0019178],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 DNA clamp loader activity [GO:0003689],1,0,1,2,0,0,2,0,0,2,2,0,0,0
 N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity [GO:0003992],0,1,1,0,1,1,1,0,0,1,1,0,1,1
 G-quadruplex DNA unwinding [GO:0044806],0,0,0,0,1,0,0,0,0,0,0,0,0,0
iron-sulfur cluster assembly [GO:0016226],2,0,1,3,1,1,1,2,1,1,2,0,0,3
 glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) activity [GO:0043797],0,0,0,0,0,0,0,1,0,0,0,0,0,0
N-acetylmuramoyl-L-alanine amidase activity [GO:0008745],0,0,0,0,0,1,0,0,0,0,0,0,1,0
penicillin binding [GO:0008658],0,0,0,0,0,0,0,0,0,0,0,0,0,2
 glycine biosynthetic process [GO:0006545],1,1,1,1,1,1,0,1,1,0,1,0,0,2
 L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069],0,1,0,0,1,0,0,0,1,0,0,0,0,1
 sporulation resulting in formation of a cellular spore [GO:0030435],0,1,1,0,0,0,0,0,0,0,0,0,1,0
 zinc ion binding [GO:0008270],17,18,17,28,19,13,37,22,17,36,37,1,29,27
 lipid A biosynthetic process [GO:0009245],0,7,0,0,0,0,0,0,0,0,0,0,7,2
 transcription antitermination [GO:0031564],0,2,0,0,1,0,0,0,0,0,0,0,2,2
 pyridoxal phosphate biosynthetic process [GO:0042823],2,0,2,2,3,2,2,2,2,2,2,0,1,2
 endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) [GO:0000447],0,0,0,0,1,0,0,0,0,0,0,0,0,0
3-hydroxyaspartate aldolase activity [GO:0047562],0,0,0,0,0,0,0,0,0,0,1,0,0,0
 type II protein secretion system complex [GO:0015627],0,3,0,0,0,0,0,0,0,0,0,0,1,1
transcription factor activity, sequence-specific DNA binding [GO:0003700],9,1,15,7,1,2,6,11,10,4,19,1,2,4
 L-methionine salvage from methylthioadenosine [GO:0019509],1,4,0,1,2,0,0,1,1,1,1,0,1,1
 phosphoserine phosphatase activity [GO:0004647],0,0,1,0,1,0,0,0,0,0,0,0,0,0
 dihydropteroate synthase activity [GO:0004156],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 nicotinate nucleotide salvage [GO:0019358],0,1,0,0,0,0,0,0,0,0,0,0,1,0
 imidazoleglycerol-phosphate dehydratase activity [GO:0004424],0,1,1,0,1,1,1,1,0,1,1,0,1,1
 selenide, water dikinase activity [GO:0004756],0,1,0,0,1,1,0,0,0,0,0,0,0,0
 microtubule [GO:0005874],0,0,1,0,0,0,0,1,1,0,0,0,0,0
3'-5' exonuclease activity [GO:0008408],2,1,3,2,2,2,3,2,2,2,2,0,3,2
DNA (cytosine-5-)-methyltransferase activity [GO:0003886],0,0,0,0,2,0,0,0,0,0,0,0,1,0
acireductone dioxygenase (Ni2+-requiring) activity [GO:0010308],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 protein tetramerization [GO:0051262],1,0,0,0,0,0,0,0,0,0,0,0,0,0
anthranilate synthase activity [GO:0004049],2,1,2,0,1,1,2,2,1,1,2,0,2,1
 amine metabolic process [GO:0009308],0,0,0,0,0,0,0,0,0,0,1,0,0,0
 monosaccharide-transporting ATPase activity [GO:0015407],0,0,1,0,0,0,0,0,0,0,0,0,0,4
 fatty acid metabolic process [GO:0006631],1,0,10,0,0,0,0,0,0,1,6,0,0,0
 tRNA 3'-terminal CCA addition [GO:0001680],1,0,1,1,1,1,1,1,1,1,1,0,0,1
primosome complex [GO:1990077],1,1,2,2,2,2,2,2,2,2,2,0,2,3
 ferrous iron binding [GO:0008198],0,1,0,1,0,0,0,0,1,0,1,0,0,1
 carbohydrate derivative metabolic process [GO:1901135],2,2,1,3,1,2,3,2,2,3,3,0,2,3
outer membrane [GO:0019867],0,3,0,0,0,0,0,0,0,0,0,0,2,2
 glucosamine-1-phosphate N-acetyltransferase activity [GO:0019134],0,1,0,0,0,0,0,0,0,0,0,0,1,1
negative regulation of transcription, DNA-templated [GO:0045892],0,1,0,0,0,0,0,0,0,0,0,0,1,1
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705],0,0,2,0,0,0,0,0,0,0,0,0,0,0
RNA processing [GO:0006396],0,1,0,0,0,0,0,0,0,0,0,0,0,0
cellulase activity [GO:0008810],0,0,0,0,0,0,0,1,0,0,0,0,0,2
 arginine-tRNA ligase activity [GO:0004814],1,2,1,1,1,1,1,1,1,1,1,0,1,2
 sirohydrochlorin cobaltochelatase activity [GO:0016852],0,0,1,0,1,1,1,0,0,0,2,0,0,0
 GMP biosynthetic process [GO:0006177],1,2,2,1,3,3,3,3,3,2,2,0,2,2
ferrous iron binding [GO:0008198],1,1,1,0,2,1,1,2,1,1,2,0,0,1
 3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity [GO:0047451],0,1,0,0,0,0,0,0,0,0,0,0,1,1
23S rRNA (adenine(2085)-N(6))-dimethyltransferase activity [GO:0052910],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 beta-galactosidase activity [GO:0004565],0,0,0,0,0,0,0,1,1,0,0,0,0,3
asparagine-tRNA ligase activity [GO:0004816],0,0,0,0,0,0,0,1,0,0,0,0,0,0
 sulfate assimilation via adenylyl sulfate reduction [GO:0010134],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 nitrogen compound metabolic process [GO:0006807],4,2,2,3,3,0,0,2,3,3,3,0,3,3
 riboflavin transporter activity [GO:0032217],0,0,0,0,0,0,0,0,0,0,0,0,0,3
 galactose catabolic process via UDP-galactose [GO:0033499],0,0,0,0,0,0,0,0,0,0,0,0,0,1
precorrin-4 C11-methyltransferase activity [GO:0046026],0,0,1,0,1,1,1,0,0,0,1,0,0,0
glucan endo-1,3-beta-D-glucosidase activity [GO:0042973],0,0,0,0,0,0,0,0,0,0,0,0,0,1
6-phospho-beta-glucosidase activity [GO:0008706],0,0,0,0,0,0,0,0,0,0,0,0,0,1
transport [GO:0006810],0,1,1,0,0,0,0,0,0,0,0,0,1,0
beta-galactosidase activity [GO:0004565],0,0,0,1,0,0,0,0,0,0,0,0,0,0
 inositol phosphate dephosphorylation [GO:0046855],1,1,1,1,1,1,1,1,1,1,1,0,1,1
 tRNA 3'-trailer cleavage [GO:0042779],1,0,1,0,0,1,0,1,1,0,1,0,0,0
 glutathione hydrolase activity [GO:0036374],1,0,0,0,0,0,0,0,0,0,0,0,0,0
carbon-monoxide dehydrogenase (acceptor) activity [GO:0018492],1,0,1,0,2,1,0,0,0,0,1,0,0,0
 N-acetylmuramoyl-L-alanine amidase activity [GO:0008745],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 DNA-(apurinic or apyrimidinic site) lyase activity [GO:0003906],2,3,1,1,2,1,1,1,1,0,1,0,3,2
 cell wall organization [GO:0071555],0,16,0,0,1,0,1,0,0,0,0,0,13,13
coenzyme F420 binding [GO:0070967],0,0,2,0,0,1,1,0,0,0,0,0,0,0
'de novo' IMP biosynthetic process [GO:0006189],0,0,1,0,0,1,1,0,0,0,0,0,0,1
 maltose alpha-glucosidase activity [GO:0032450],0,0,0,0,0,0,0,0,0,0,0,0,0,5
 intracellular [GO:0005622],0,9,7,0,1,2,4,1,3,1,1,0,9,7
malate synthase activity [GO:0004474],0,0,0,0,0,0,0,0,0,0,1,0,0,0
 2-isopropylmalate synthase activity [GO:0003852],0,0,1,0,1,1,1,0,0,0,0,0,0,0
protein deglycase activity [GO:0036524],0,0,0,0,0,0,0,0,0,0,0,0,1,0
 negative regulation of telomerase activity [GO:0051974],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 holo-[acyl-carrier-protein] synthase activity [GO:0008897],0,1,0,0,0,0,0,0,0,0,0,0,1,1
proton-transporting V-type ATPase, V0 domain [GO:0033179],0,0,1,0,1,0,0,1,1,0,0,0,0,0
 S-sulfolactate dehydrogenase activity [GO:0102155],0,0,0,0,0,0,1,0,0,0,0,0,0,0
 L,L-diaminopimelate aminotransferase activity [GO:0010285],0,0,0,0,1,0,0,0,0,0,0,0,0,0
exosome (RNase complex) [GO:0000178],1,0,1,1,1,1,1,1,1,1,1,0,0,0
 nicotinate-nucleotide adenylyltransferase activity [GO:0004515],0,1,0,0,0,0,0,0,0,0,0,0,1,1
nutrient reservoir activity [GO:0045735],0,0,0,0,1,0,0,0,0,0,1,0,0,0
5'-methylthioadenosine deaminase activity [GO:0090614],0,0,0,0,0,0,0,0,0,0,0,0,1,1
 mRNA 5'-UTR binding [GO:0048027],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 ribosomal small subunit binding [GO:0043024],0,1,0,0,1,0,0,0,0,0,0,0,0,0
inositol monophosphate 1-phosphatase activity [GO:0008934],1,0,0,1,0,1,1,1,1,1,1,0,1,1
 NAD+ binding [GO:0070403],1,1,7,1,0,1,0,2,1,1,2,0,1,1
 carbon-nitrogen lyase activity [GO:0016840],0,0,1,0,1,0,1,1,1,1,1,0,1,0
 glycerol-3-phosphate biosynthetic process [GO:0046167],0,0,0,0,0,0,0,0,0,0,0,0,1,2
GTPase activity [GO:0003924],0,0,1,0,0,1,0,1,1,0,0,0,0,0
 tryptophan biosynthetic process [GO:0000162],4,8,4,0,8,4,4,4,4,2,4,0,4,4
 plasma membrane ATP synthesis coupled proton transport [GO:0042777],1,1,0,1,1,0,6,0,0,4,1,0,1,2
maleate isomerase activity [GO:0050076],1,0,0,0,0,0,0,0,0,0,0,0,0,0
farnesyl-diphosphate farnesyltransferase activity [GO:0004310],0,0,0,0,0,0,0,0,0,0,1,0,0,0
acetoacetate-CoA ligase activity [GO:0030729],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 UDP-N-acetylmuramate-L-alanine ligase activity [GO:0008763],0,1,0,0,0,0,0,0,0,0,0,0,1,1
pyridoxal 5'-phosphate synthase (glutamine hydrolysing) activity [GO:0036381],1,0,1,1,1,1,1,1,1,1,1,0,0,1
 DNA replication proofreading [GO:0045004],0,2,0,0,0,0,0,0,0,0,0,0,0,1
 methylthioribulose 1-phosphate dehydratase activity [GO:0046570],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 antibiotic transport [GO:0042891],0,0,0,0,0,0,0,0,1,0,0,0,0,1
 thymidine phosphorylase activity [GO:0009032],0,0,2,1,1,0,0,1,1,0,0,0,0,1
isochorismatase activity [GO:0008908],0,0,0,0,0,1,1,0,0,1,0,0,0,0
alpha-amylase activity [GO:0004556],0,0,0,0,1,0,0,2,1,0,0,0,0,2
 sulfuric ester hydrolase activity [GO:0008484],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 peptidyl-tyrosine sulfation [GO:0006478],0,1,0,0,0,0,0,0,0,0,0,0,0,0
ribokinase activity [GO:0004747],0,0,1,1,0,1,2,3,2,1,1,0,0,0
 snRNA pseudouridine synthesis [GO:0031120],0,0,0,0,1,0,0,0,0,0,0,0,0,0
pyruvate, water dikinase activity [GO:0008986],0,0,0,0,0,0,1,0,0,0,0,0,0,0
 cellular response to iron ion [GO:0071281],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 glucose-6-phosphate isomerase activity [GO:0004347],1,1,1,1,1,0,0,1,1,1,1,0,1,1
 rRNA (uridine-2'-O-)-methyltransferase activity [GO:0008650],0,0,0,0,0,0,1,0,0,0,0,0,0,0
 proteasome core complex, beta-subunit complex [GO:0019774],0,0,0,0,1,0,1,0,0,2,1,0,0,0
cysteine biosynthetic process from serine [GO:0006535],0,0,0,0,0,0,0,0,0,0,1,0,0,0
 nucleoid [GO:0009295],0,1,0,0,0,0,0,1,0,0,1,0,0,1
 cell wall macromolecule biosynthetic process [GO:0044038],0,0,0,0,0,0,0,1,0,0,0,0,0,0
 sulfite reductase (ferredoxin) activity [GO:0050311],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616],1,3,1,2,1,1,0,6,5,2,2,0,4,8
 Type I site-specific deoxyribonuclease activity [GO:0009035],0,0,1,0,2,0,0,0,1,0,0,0,0,0
ATP-dependent peptidase activity [GO:0004176],0,0,0,0,0,0,0,1,0,0,0,0,0,0
 valine biosynthetic process [GO:0009099],1,5,5,0,5,3,3,3,3,3,3,0,3,4
 fumarate transport [GO:0015741],0,1,0,0,0,0,0,0,0,0,0,0,0,0
archaeal-type flagellum [GO:0097589],2,0,2,0,10,0,0,1,3,0,1,0,0,0
dolichyl-phosphate beta-glucosyltransferase activity [GO:0004581],0,0,0,0,0,0,0,0,0,0,1,0,0,0
 arginine binding [GO:0034618],0,1,0,0,1,0,0,0,0,0,0,0,0,1
 glucuronate catabolic process [GO:0006064],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 L-lyxose metabolic process [GO:0019324],0,0,0,0,0,0,0,0,0,0,0,0,0,1
2-dehydro-3-deoxygluconokinase activity [GO:0008673],0,0,0,0,0,0,0,0,0,0,0,0,0,1
hydroxymethylpyrimidine kinase activity [GO:0008902],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 formate dehydrogenase (NAD+) activity [GO:0008863],0,2,0,0,3,0,1,0,0,0,1,1,2,0
2',3'-cyclic-nucleotide 3'-phosphodiesterase activity [GO:0004113],1,0,1,1,0,1,1,1,1,1,1,0,1,0
 xylan 1,4-beta-xylosidase activity [GO:0009044],0,0,0,0,0,0,0,0,0,0,0,0,0,1
ligase activity [GO:0016874],3,2,16,2,0,4,2,4,3,5,15,20,6,3
 ribonuclease III activity [GO:0004525],0,1,0,0,0,0,0,0,0,0,0,0,1,2
 D-2-hydroxy-acid dehydrogenase activity [GO:0047809],0,0,1,0,0,0,0,0,0,0,0,0,0,0
2-dehydropantoate 2-reductase activity [GO:0008677],0,0,0,2,0,0,0,0,0,0,0,0,0,0
oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903],0,0,1,3,0,0,0,1,3,1,3,0,0,1
 3-hydroxybutyryl-CoA dehydratase activity [GO:0003859],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 NADH dehydrogenase (quinone) activity [GO:0050136],0,0,0,2,0,0,0,1,0,2,3,0,4,1
 identical protein binding [GO:0042802],0,2,0,0,4,0,0,0,1,0,0,0,0,2
 16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity [GO:0052908],0,1,0,0,0,0,0,0,0,0,0,0,1,1
 protein repair [GO:0030091],0,0,0,1,0,0,1,0,0,1,0,0,0,1
hydroxymethylglutaryl-CoA synthase activity [GO:0004421],0,0,0,1,1,1,1,1,0,0,1,0,0,0
mismatch repair complex [GO:0032300],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 cyclic 2,3-diphosphoglycerate synthetase activity [GO:0036356],0,0,0,0,0,1,1,1,1,0,0,0,0,0
 farnesyltranstransferase activity [GO:0004311],0,1,0,0,0,0,1,0,0,0,0,0,0,1
 3,4-dihydroxy-2-butanone-4-phosphate synthase activity [GO:0008686],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 chaperone mediated protein folding requiring cofactor [GO:0051085],0,1,0,0,0,0,0,0,0,0,0,0,0,0
envelope [GO:0031975],0,0,0,0,0,0,0,1,0,0,0,0,0,0
uroporphyrin-III C-methyltransferase activity [GO:0004851],1,1,0,1,1,0,1,0,0,0,1,0,2,0
 protein-glutamine gamma-glutamyltransferase activity [GO:0003810],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 phosphoribosylformylglycinamidine cyclo-ligase activity [GO:0004641],0,1,1,0,1,1,1,1,1,1,1,0,1,1
 nickel cation transmembrane transporter activity [GO:0015099],0,0,0,0,1,0,0,0,0,0,1,0,0,0
 establishment of integrated proviral latency [GO:0075713],0,0,0,0,0,0,0,0,0,0,2,0,0,0
 membrane assembly [GO:0071709],0,1,0,0,0,0,0,0,0,0,0,0,1,0
 glycoside catabolic process [GO:0016139],0,0,0,0,0,0,0,0,0,0,0,0,0,1
biotin-[acetyl-CoA-carboxylase] ligase activity [GO:0004077],0,0,1,1,0,0,1,2,2,0,1,0,1,1
 DNA-7-methylguanine glycosylase activity [GO:0043916],0,0,1,0,0,0,0,0,0,0,0,0,0,0
 lysyl-tRNA aminoacylation [GO:0006430],1,2,1,1,1,1,1,1,1,1,1,0,2,1
 ADP-specific phosphofructokinase activity [GO:0043844],0,0,0,0,1,0,0,1,1,0,0,0,0,0
glutathione hydrolase activity [GO:0036374],0,0,0,0,0,0,0,0,0,0,1,0,0,0
 thymidylate synthase activity [GO:0004799],0,0,0,0,1,1,1,0,0,0,0,0,0,0
 RNA-DNA hybrid ribonuclease activity [GO:0004523],1,2,1,1,1,1,1,1,1,1,2,0,2,2
 cysteine-type peptidase activity [GO:0008234],0,0,0,1,0,0,0,1,2,2,0,0,0,0
 molybdopterin adenylyltransferase activity [GO:0061598],0,0,0,0,2,0,0,1,0,0,0,0,0,0
 manganese ion transmembrane transport [GO:0071421],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 NADH pyrophosphatase activity [GO:0035529],1,1,1,1,1,1,1,1,1,1,1,0,1,2
 negative regulation of translation [GO:0017148],0,1,0,0,0,0,0,0,0,0,0,0,1,1
rRNA (guanine-N2-)-methyltransferase activity [GO:0008990],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 pyrimidine deoxyribonucleoside metabolic process [GO:0046125],0,0,2,1,1,0,0,1,1,0,0,0,0,0
 fatty acid biosynthetic process [GO:0006633],0,8,3,0,0,0,0,0,1,1,0,0,10,4
 transporter activity [GO:0005215],18,8,20,14,7,1,0,8,7,13,15,1,12,15
 valine-tRNA ligase activity [GO:0004832],1,1,1,1,3,1,1,1,1,1,1,0,1,1
 amidophosphoribosyltransferase activity [GO:0004044],0,1,1,0,1,1,1,1,1,0,1,0,1,1
 tetrapyrrole binding [GO:0046906],0,0,2,0,0,0,0,0,0,0,0,0,0,0
 shikimate metabolic process [GO:0019632],0,2,1,0,1,1,1,1,1,1,0,0,1,1
 hydrogenase (acceptor) activity [GO:0033748],0,0,1,0,0,0,0,0,0,0,0,0,1,0
 pentose-phosphate shunt [GO:0006098],1,5,1,1,2,1,1,1,1,1,1,1,7,6
 tRNA methylation [GO:0030488],0,2,0,0,4,0,0,1,5,0,0,0,0,2
 double-strand break repair [GO:0006302],1,1,1,2,1,1,2,2,1,2,1,0,0,1
 CMP-keto-3-deoxy-D-manno-octulosonic acid biosynthetic process [GO:0033468],0,1,0,0,0,0,0,0,0,0,0,0,1,0
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity [GO:0003871],2,0,0,2,0,1,1,2,2,2,2,0,1,1
S-adenosylhomocysteine deaminase activity [GO:0050270],0,0,0,0,0,0,1,0,0,0,0,0,0,0
 molybdopterin cofactor binding [GO:0043546],0,1,0,0,0,0,0,0,0,0,1,1,1,0
oxidoreductase activity, acting on the aldehyde or oxo group of donors, iron-sulfur protein as acceptor [GO:0016625],0,2,1,2,0,2,1,0,0,1,1,0,2,1
 histidine biosynthetic process [GO:0000105],0,10,11,2,12,11,11,9,1,9,10,0,9,11
 protein targeting [GO:0006605],0,3,0,0,0,1,4,0,3,1,1,0,6,6
electron-transferring-flavoprotein dehydrogenase activity [GO:0004174],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 zinc-exporting ATPase activity [GO:0016463],0,0,0,0,0,0,0,0,0,0,0,0,0,1
 calcium-transporting ATPase activity [GO:0005388],0,2,0,0,0,0,1,0,0,0,0,0,0,0
 microtubule-based process [GO:0007017],0,0,1,0,0,0,0,1,1,0,0,0,0,0
 phospholipid biosynthetic process [GO:0008654],6,6,12,7,6,8,5,7,8,4,5,0,9,8
cyclic pyranopterin monophosphate synthase activity [GO:0061799],1,1,1,0,1,1,1,1,1,1,1,0,0,0
 chemotaxis [GO:0006935],0,4,4,0,0,0,0,0,7,0,0,0,3,14
maltose transmembrane transporter activity [GO:0005363],0,0,0,0,0,0,0,1,1,0,0,0,0,0
hydrolase activity, hydrolyzing N-glycosyl compounds [GO:0016799],0,1,0,0,0,0,0,0,0,0,1,0,1,0
phenylacetate catabolic process [GO:0010124],0,0,0,0,0,0,0,0,0,0,2,0,0,0
 transferase activity, transferring acyl groups, acyl groups converted into alkyl on transfer [GO:0046912],0,0,1,0,0,0,0,1,0,0,1,0,0,1
 glycyl-tRNA aminoacylation [GO:0006426],1,3,1,1,1,1,1,1,1,1,1,0,2,2
 protein-L-isoaspartate (D-aspartate) O-methyltransferase activity [GO:0004719],1,0,2,1,1,1,1,1,1,1,0,0,0,1
 5'-nucleotidase activity [GO:0008253],1,1,1,1,1,1,1,0,0,0,0,0,1,1
 glutamate 5-kinase activity [GO:0004349],0,1,0,0,0,0,0,0,0,0,0,0,1,1
 putrescine biosynthetic process from ornithine [GO:0033387],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 glutamine biosynthetic process [GO:0006542],1,1,1,1,1,1,1,1,1,1,3,0,1,1
 response to hydrogen peroxide [GO:0042542],0,0,0,0,3,0,0,0,0,0,0,0,0,1
thiamine-phosphate diphosphorylase activity [GO:0004789],0,0,0,0,0,0,0,0,0,0,2,0,0,0
response to stress [GO:0006950],1,3,7,4,1,2,2,1,0,2,3,0,2,1
ribonuclease MRP complex [GO:0000172],0,0,0,0,0,1,0,0,0,0,0,0,0,0
 isoprenoid biosynthetic process [GO:0008299],3,2,4,5,4,4,4,4,3,4,4,0,2,2
 alpha-glucuronidase activity [GO:0046559],0,0,0,0,0,0,0,0,0,0,0,0,0,1
endopeptidase activity [GO:0004175],0,1,0,0,0,0,0,0,0,0,0,0,0,0
 telomerase inhibitor activity [GO:0010521],0,0,0,0,1,0,0,0,0,0,0,0,0,0
 glucose metabolic process [GO:0006006],0,2,0,0,0,0,0,2,1,0,0,0,2,3
adenosylhomocysteinase activity [GO:0004013],0,0,1,1,0,0,1,0,0,1,1,0,1,1
 DNA replication origin binding [GO:0003688],0,1,0,0,0,0,0,0,0,0,0,0,1,1
carbohydrate derivative binding [GO:0097367],2,2,1,3,1,2,3,2,2,4,3,0,2,2
 regulation of transcription, DNA-templated [GO:0006355],15,25,33,14,30,19,10,18,14,12,13,1,23,29
zinc ion binding [GO:0008270],3,1,3,4,2,2,1,2,3,5,6,0,2,0
aminomethyltransferase activity [GO:0004047],1,0,0,1,0,0,0,1,1,1,1,0,1,1
 NAD+ synthase (glutamine-hydrolyzing) activity [GO:0003952],1,1,1,1,1,1,1,1,1,1,1,0,1,2
[glutamate-ammonia-ligase] adenylyltransferase activity [GO:0008882],0,0,0,0,0,0,0,0,0,0,0,0,1,0
 metal ion binding [GO:0046872],76,153,151,62,213,97,58,131,116,49,77,1,83,148
FMN binding [GO:0010181],2,3,8,3,3,2,4,4,3,4,5,0,4,3
